0.135,4
0.405,49
0.675,188
0.945,478
1.215,988
1.485,1486
1.755,1611
2.025,2112
2.295,3029
2.565,3994
2.835,4845
3.105,6075
3.375,7443
3.645,9019
3.915,10460
4.185,12556
4.455,12623
4.725,9343
4.995,7001
5.265,5646
5.535,2785
5.805,1818
6.075,1250
6.345,981
6.615,947
6.885,746
7.155,833
7.425,803
7.695,660
7.965,666
8.235,593
8.505,498
8.775,480
9.045,464
9.315,431
9.585,467
9.855,477
10.125,587
10.395,606
10.665,593
10.935,625
11.205,659
11.475,541
11.745,541
12.015,482
12.285,430
12.555,423
12.825,429
13.095,452
13.365,521
13.635,550
13.905,653
14.175,572
14.445,596
14.715,578
14.985,535
15.255,453
15.525,371
15.795,296
16.065,294
16.335,179
16.605,199
16.875,139
17.145,119
17.415,96
17.685,87
17.955,89
18.225,68
18.495,75
18.765,70
19.035,77
19.305,75
19.575,72
19.845,80
20.115,94
20.385,85
20.655,99
20.925,92
21.195,200
21.465,186
21.735,313
22.005,348
22.275,358
22.545,403
22.815,362
23.085,302
23.355,259
23.625,186
23.895,107
24.165,47
24.435,2
24.705,0
24.975,0
25.245,0
25.515,0
25.785,0
26.055,0
26.325,0
26.595,0
26.865,0
