0.135,4
0.405,16
0.675,99
0.945,283
1.215,499
1.485,719
1.755,1247
2.025,1880
2.295,2263
2.565,3054
2.835,3982
3.105,5402
3.375,6325
3.645,7357
3.915,8996
4.185,9964
4.455,11729
4.725,12417
4.995,11130
5.265,7596
5.535,4305
5.805,2367
6.075,1731
6.345,1322
6.615,1263
6.885,983
7.155,908
7.425,854
7.695,804
7.965,583
8.235,599
8.505,515
8.775,408
9.045,449
9.315,422
9.585,439
9.855,447
10.125,534
10.395,534
10.665,646
10.935,646
11.205,613
11.475,583
11.745,501
12.015,490
12.285,533
12.555,443
12.825,494
13.095,496
13.365,596
13.635,566
13.905,554
14.175,435
14.445,425
14.715,416
14.985,371
15.255,305
15.525,283
15.795,223
16.065,269
16.335,305
16.605,330
16.875,274
17.145,287
17.415,255
17.685,234
17.955,175
18.225,163
18.495,125
18.765,123
19.035,86
19.305,99
19.575,61
19.845,70
20.115,107
20.385,85
20.655,80
20.925,98
21.195,145
21.465,136
21.735,201
22.005,285
22.275,333
22.545,347
22.815,399
23.085,382
23.355,235
23.625,252
23.895,154
24.165,104
24.435,80
24.705,62
24.975,43
25.245,26
25.515,28
25.785,18
26.055,0
26.325,0
26.595,0
26.865,0
