Misorientation angle	Number fraction (%)
0	3.43089041067821
1	31.6235743470581
2	37.1276294921131
3	11.3269483752782
4	1.82122937080705
5	0.701812623201413
6	0.403772780735295
7	0.128477814524755
8	0.229292941711644
9	0.148046604456356
10	0.129092540910041
11	0.074791710209786
12	0.033092770407892
13	0.030941228059391
14	0.081348791652835
15	0.032375589625058
16	0.055018011483089
17	0.06895180954957
18	0.037498309502441
19	0.068541991959379
20	0.04753884046211
21	0.035141858358845
22	0.020593333907078
23	0.04405539094549
24	0.034834495166202
25	0.029916684083914
26	0.042518574982275
27	0.031658408842224
28	0.05716955383159
29	0.063624180877092
30	0.052149288351755
31	0.041801394199442
32	0.06895180954957
33	0.086983783517956
34	0.075303982197524
35	0.07940215809943
36	0.086983783517956
37	0.089750052251743
38	0.154501231501859
39	0.181446738056891
40	0.095180135321768
41	0.144972972529927
42	0.097946404055555
43	0.113314563687703
44	0.093540864961006
45	0.100815127186889
46	0.110138477363725
47	0.142309158193688
48	0.087291146710599
49	0.110650749351464
50	0.188003819499941
51	0.257775264229891
52	0.128785177717398
53	0.145587698915213
54	0.147329423673523
55	0.14046497903783
56	0.114134198868084
57	0.238718746286028
58	0.944629545389347
59	4.01600747507285
60	3.28776161730414
61	0.026023416977104
62	0.002151542348501
63	0
64	0
65	0
